School Name,Sector,Grade Band,Enrollment,ELA % Prof.,Math % Prof.,ELA # Prof.,Math # Prof.,Overall Rating,Overall Score,Achievement Score,Growth Score,Economically Disadvantaged,Students with Disabilitites,Limited English Proficiency,Black,Latino
Barbee Elementary,Traditional Public School,K-5,305,0.236,0.094,25,10,Meets Expectations,61.8,15.9,71.7,0.934,0.174,0.007,0.78,0.043
Victory Christian Academy,Private School,K-12,318,0.193,0.16,52,43,Meets Expectations,60.6,34.5,59.4,0.723,0.025,0.113,0.154,0.692
Grant Elementary,Traditional Public School,K-8,582,0.21,0.173,78,64,Meets Expectations,60.6,24.3,68.9,0.998,0.107,0.479,0.079,0.45
Cross Trainers Academy,Private School,K-12,482,0.167,0.053,47,15,Meets Expectations,60.4,17,69.8,0.996,0.091,0.006,0.963,0.025
Saint Joseph Academy,Private School*,K-8,427,0.279,0.128,74,34,Meets Expectations,60.2,24,60.3,0.883,0.023,0.389,0.04,0.878
Clement Avenue Elementary,Traditional Public School,K-8,259,0.263,0.343,36,47,Meets Expectations,60.2,37.5,66,0.819,0.224,0.015,0.124,0.463
Lincoln Avenue Elementary,Traditional Public School,K-5,416,0.133,0.187,20,28,Meets Expectations,60.2,20.9,71.7,0.928,0.202,0.442,0.13,0.8
Saint Josaphat Parish School,Private School,K-8,207,0.305,0.225,46,34,Meets Expectations,59.9,41.1,61.3,0.918,0.01,0.164,0.014,0.976
Tenor High,Public Charter School,9-12,627,0.226,0.192,98,83,Meets Expectations,59.9,29.9,57.5,0.721,0.144,0.234,0.268,0.638
Harold S Vincent School of Agricultural Science,Traditional Public School,9-12,708,0.088,0.036,29,12,Meets Expectations,59.7,15.4,71.7,0.839,0.172,0.032,0.831,0.061
La Causa Charter School,Public Charter School,K-8,570,0.208,0.13,80,50,Meets Expectations,59.3,18.8,66,0.916,0.128,0.6,0.026,0.968
Curtin Elementary,Traditional Public School,K-8,283,0.235,0.173,42,31,Meets Expectations,59.1,28.5,65.1,0.908,0.159,0.332,0.155,0.512
Ninety-Fifth Street Elementary,Traditional Public School,K-5,424,0.201,0.201,35,35,Meets Expectations,59.1,35.6,59.4,0.795,0.172,0.005,0.608,0.127
Granville Lutheran School,Private School,K-8,223,0.174,0.144,23,19,Meets Expectations,58.9,27.2,62.2,0.892,0.04,0,0.901,0.018
Kilbourn Elementary,Traditional Public School,K-5,258,0.188,0.188,15,15,Meets Expectations,58.8,25.9,63.2,0.953,0.205,0,0.895,0.05
Shining Star Christian Schools Inc,Private School*,K-8,208,0.109,0.049,65,29,Meets Expectations,58.6,15.2,68.9,0.981,0,0,0.875,0.072
Bryant Elementary,Traditional Public School,K-5,197,0.151,0.247,11,18,Meets Few Expectations,57.9,18,66.9,0.98,0.269,0,0.832,0.061
Riley Dual Language Montessori School,Traditional Public School,K-5,265,0.198,0.116,17,10,Meets Few Expectations,57.5,22.7,57.5,0.653,0.147,0.328,0.057,0.826
WHS Information Technology,Traditional Public School,9-12,379,0.036,0.036,7,7,Meets Few Expectations,57.5,9.9,77.4,0.881,0.24,0.053,0.894,0.034
Goodrich Elementary,Traditional Public School,K-5,288,0.188,0.149,19,15,Meets Few Expectations,57.2,22.7,66,0.917,0.26,0.007,0.684,0.052
Hope Christian School Prima,Private School*,K-8,583,0.073,0.121,21,35,Meets Few Expectations,57.1,16.4,66.9,0.919,0.014,0.003,0.961,0.017
Hope Christian School Semper,Private School*,K-8,572,0.105,0.135,28,36,Meets Few Expectations,57.1,18.9,67.9,0.969,0.009,0,0.97,0.019
Carmen High School of Science and Technology Southeast Campus,Public Charter School,9-12,676,0.185,0.176,96,91,Meets Few Expectations,57.1,23.2,52.7,0.981,0.123,0.448,0.041,0.928
Milwaukee Lutheran High School,Private School,9-12,920,0.104,0.104,78,78,Meets Few Expectations,56.5,27.7,49.8,0.821,0,0,0.868,0.048
Saint Martini Lutheran School,Private School,K-8,141,0.181,0.167,13,12,Meets Few Expectations,56.3,31,56.5,1,0.064,0.326,0.142,0.823
Milwaukee Environmental Science Academy,Public Charter School,K-8,295,0.043,0.031,7,5,Meets Few Expectations,56.3,15,67.9,0.966,0.105,0.007,0.919,0.061
Keefe Avenue Elementary,Traditional Public School,K-5,127,0.022,0.022,1,1,Meets Few Expectations,56.2,10,66,0.961,0.181,0,0.921,0.039
Escuela Verde,Public Charter School,9-12,120,0.155,0.093,15,9,Meets Few Expectations,55.9,18.2,53.7,0.817,0.258,0.408,0.058,0.85
Stellar Collegiate Charter School,Public Charter School,K-5,217,0.233,0.389,21,35,Meets Few Expectations,55.9,28.6,62.2,0.982,0.175,0.373,0.138,0.783
Gaenslen Elementary,Traditional Public School,K-8,677,0.052,0.031,20,12,Meets Few Expectations,55.6,7.7,63.2,0.932,0.49,0.004,0.809,0.097
Siefert Elementary,Traditional Public School,K-5,216,0.095,0.063,6,4,Meets Few Expectations,55.5,10.9,65.1,0.977,0.116,0.005,0.898,0.046
James Madison Academic Campus,Traditional Public School,9-12,595,0.062,0.047,16,12,Meets Few Expectations,55.5,10.2,67.9,0.879,0.255,0.017,0.894,0.032
Hope Christian School Caritas,Private School*,K-8,354,0.146,0.152,23,24,Meets Few Expectations,55.4,19.5,64.1,0.927,0.003,0,0.944,0.031
Pulaski High,Traditional Public School,9-12,945,0.044,0.046,26,27,Meets Few Expectations,54.6,12.5,66,0.822,0.232,0.412,0.315,0.513
Carter's Christian Academy Inc,Private School*,K-12,278,0.024,0,4,0,Meets Few Expectations,54.5,4.4,57.5,0.996,0.018,0,1,0
Engleburg Elementary,Traditional Public School,K-5,268,0.146,0.146,14,14,Meets Few Expectations,54.5,28.6,63.2,0.922,0.31,0,0.806,0.037
North Division High,Traditional Public School,9-12,389,0.014,0.01,3,2,Meets Few Expectations,54.5,9.8,73.6,0.907,0.283,0.005,0.915,0.046
Pratt Elementary,Traditional Public School,K-5,309,0.129,0.05,13,5,Meets Few Expectations,54.4,18.1,63.2,0.922,0.181,0,0.906,0.026
LaFollette Elementary,Traditional Public School,K-8,218,0.028,0.009,3,1,Meets Few Expectations,53.8,7.2,70.8,0.94,0.225,0.014,0.899,0.06
Fratney Elementary,Traditional Public School,K-5,474,0.201,0.152,33,25,Meets Few Expectations,53.3,29.2,52.7,0.715,0.114,0.297,0.2,0.662
Milwaukee Seventh Day Adventist School,Private School,K-12,138,0.116,0.078,15,10,Meets Few Expectations,53.2,22.3,51.8,1,0,0.638,0.304,0.514
South Division High,Traditional Public School,9-12,842,0.05,0.055,32,35,Meets Few Expectations,53.2,10.2,58.4,0.894,0.241,0.52,0.266,0.539
Milwaukee Excellence Charter School,Public Charter School,6-12,269,NA,NA,NA,NA,Meets Few Expectations,53.2,15.7,58.4,0.862,0.167,0,0.952,0.026
Parkview Elementary,Traditional Public School,K-5,335,0.223,0.317,31,44,Meets Few Expectations,53.1,24.3,60.3,0.89,0.179,0.275,0.519,0.042
Allen-Field Elementary,Traditional Public School,K-5,474,0.101,0.136,17,23,Meets Few Expectations,53,18,57.5,0.903,0.291,0.466,0.114,0.806
Congress Elementary,Traditional Public School,K-8,699,0.13,0.057,39,17,Meets Few Expectations,52.7,15.1,60.3,0.923,0.209,0,0.923,0.036
Westside Academy,Traditional Public School,K-5,157,0.204,0.13,11,7,Meets Few Expectations,52.5,21,56.5,0.955,0.236,0.006,0.873,0.045
River Trail School of Agricultural Science,Traditional Public School,K-8,403,0.085,0.04,21,10,Meets Few Expectations,52.4,14.9,55.6,0.935,0.233,0.03,0.794,0.062
Story Elementary,Traditional Public School,K-8,385,0.114,0.057,24,12,Meets Few Expectations,52.3,13.4,59.4,0.912,0.112,0.281,0.743,0.052
Central City Cyberschool,Public Charter School,K-12,378,0.161,0.14,31,27,Meets Few Expectations,52.3,17.4,66.9,0.968,0.053,0,0.971,0.021
Grandview High,Traditional Public School,9-12,217,NA,NA,NA,NA,Meets Few Expectations,52.3,14.6,70.8,0.912,0.12,0.295,0.074,0.71
Forest Home Elementary,Traditional Public School,K-5,537,0.152,0.203,30,40,Meets Few Expectations,52.1,24.5,54.6,0.957,0.376,0.438,0.134,0.797
Holmes Elementary,Traditional Public School,K-8,289,0.124,0.124,15,15,Meets Few Expectations,52.1,10.2,65.1,0.969,0.308,0.01,0.917,0.035
Academy of Excellence,Private School*,K-12,2014,0.033,0.028,75,64,Meets Few Expectations,51.6,16.3,62.2,0.456,0.004,0.085,0.064,0.167
Hope Christian School Fortis,Private School*,K-8,360,0.108,0.095,17,15,Meets Few Expectations,51.5,14.9,61.3,0.936,0.017,0,0.958,0.019
Saint Joan Antida High School,Private School*,9-12,206,0.19,0.129,28,19,Meets Few Expectations,51.5,27.7,50.8,0.947,0,0.286,0.34,0.612
Clarke Street Elementary,Traditional Public School,K-8,223,0.047,0.012,4,1,Meets Few Expectations,51.3,9.9,68.9,0.978,0.188,0.004,0.973,0.022
Carmen Middle/High School of Science and Technology Northwest Campus,Public Charter School,6-12,586,0.152,0.119,65,51,Meets Few Expectations,51.2,19.3,51.8,0.974,0.157,0.014,0.874,0.051
Carson Academy,Traditional Public School,K-8,332,0.101,0.063,16,10,Meets Few Expectations,51.1,8.3,68.9,0.901,0.172,0,0.901,0.054
Hamilton High,Traditional Public School,9-12,1485,0.085,0.06,82,58,Meets Few Expectations,50.9,18.8,53.7,0.832,0.199,0.268,0.329,0.424
Auer Avenue Elementary,Traditional Public School,K-5,187,0.077,0.038,4,2,Meets Few Expectations,50.3,5.9,57.5,0.963,0.198,0,0.947,0.011
Manitoba Elementary,Traditional Public School,K-8,445,0.125,0.093,32,24,Meets Few Expectations,50.1,15.3,57.5,0.876,0.276,0.171,0.24,0.434
Kluge Elementary,Traditional Public School,K-5,344,0.143,0.086,15,9,Meets Few Expectations,49.9,15.1,60.3,0.945,0.317,0.023,0.828,0.049
Hopkins Lloyd Community School,Traditional Public School,K-5,128,0.038,0,2,0,Meets Few Expectations,49.8,6.2,58.4,0.953,0.172,0,0.945,0.016
Roosevelt Middle,Traditional Public School,6-8,225,0.159,0.077,35,17,Meets Few Expectations,49.7,9.8,60.3,0.947,0.2,0,0.884,0.044
Bay View High,Traditional Public School,9-12,956,0.072,0.072,47,47,Meets Few Expectations,49.4,17.1,49.9,0.849,0.253,0.121,0.46,0.323
King Jr Elementary,Traditional Public School,K-8,298,0.11,0.024,14,3,Meets Few Expectations,49.4,6.6,60.3,0.923,0.171,0,0.909,0.044
Hawley Environmental School,Traditional Public School,K-5,297,0.13,0.078,15,9,Meets Few Expectations,49.4,22,51.8,0.889,0.256,0.003,0.744,0.094
Carver Academy,Traditional Public School,K-8,297,0.125,0.062,20,10,Meets Few Expectations,49.2,14.1,54.6,0.929,0.199,0,0.929,0.024
Woodlands School - State Street Campus,Public Charter School,K-8,198,0.147,0.103,17,12,Meets Few Expectations,49.2,32.2,68.9,0.177,0.061,0.005,0.697,0.086
Marshall High,Traditional Public School,9-12,692,0.037,0.029,13,10,Meets Few Expectations,49,8,54.6,0.84,0.309,0.009,0.887,0.038
Grantosa Drive Elementary,Traditional Public School,K-8,551,0.139,0.088,38,24,Meets Few Expectations,48.1,11.7,57.5,0.911,0.194,0.015,0.875,0.036
Hartford Avenue Elementary,Traditional Public School,K-8,380,0.082,0.06,11,8,Meets Few Expectations,48,13.1,54.6,0.895,0.168,0,0.829,0.061
Starms Discovery,Traditional Public School,K-8,230,0.064,0.038,10,6,Fails to Meet Expectations,47.7,8.7,61.3,0.965,0.261,0,0.904,0.07
Early View Academy of Excellence,Private School*,K-12,269,0.041,0.047,7,8,Fails to Meet Expectations,47.5,11,64.1,1,0.007,0,0.926,0.045
Milwaukee Spanish Immersion,Traditional Public School,K-5,678,0.266,0.261,53,52,Fails to Meet Expectations,47.4,40.8,39.4,0.748,0.168,0.012,0.24,0.615
Lincoln Middle,Traditional Public School,6-8,308,0.089,0.053,22,13,Fails to Meet Expectations,47.2,12,54.6,0.925,0.224,0.094,0.675,0.234
Stuart Elementary,Traditional Public School,K-5,295,0.252,0.213,32,27,Fails to Meet Expectations,46.9,32.6,48.9,0.915,0.18,0.064,0.583,0.061
Audubon Technology and Communication Middle,Traditional Public School,6-8,368,0.126,0.027,38,8,Fails to Meet Expectations,46.5,13.4,49.9,0.954,0.261,0.285,0.228,0.628
Milwaukee Sign Language Elementary,Traditional Public School,K-8,414,0.085,0.085,18,18,Fails to Meet Expectations,46.5,10.9,52.7,0.923,0.213,0.002,0.838,0.068
Rocketship Transformation Prep,Public Charter School,K-5,231,0.21,0.31,21,31,Fails to Meet Expectations,46.3,20,46.1,0.922,0.139,0.004,0.818,0.104
Townsend Street Elementary,Traditional Public School,K-8,299,0.037,0.007,5,1,Fails to Meet Expectations,46.2,6.3,51.8,0.903,0.174,0,0.893,0.047
Green Tree Preparatory Academy,Traditional Public School,6-12,496,0.045,0.051,15,17,Fails to Meet Expectations,46.1,12.3,59.4,0.948,0.143,0.018,0.881,0.042
Franklin Elementary,Traditional Public School,K-8,344,0.079,0.026,12,4,Fails to Meet Expectations,45.7,9.8,53.7,0.942,0.273,0.003,0.933,0.044
Thoreau Elementary,Traditional Public School,K-8,357,0.131,0.08,23,14,Fails to Meet Expectations,45.3,17.6,54.6,0.986,0.137,0.011,0.871,0.056
Fifty-Third Street Elementary,Traditional Public School,K-8,330,0.076,0.032,14,6,Fails to Meet Expectations,45.2,11.8,53.7,0.927,0.233,0.015,0.827,0.109
Sherman Elementary,Traditional Public School,K-8,242,0.071,0.012,6,1,Fails to Meet Expectations,44.8,9.5,54.6,0.893,0.19,0,0.909,0.041
Barton Elementary,Traditional Public School,K-5,259,0.143,0.105,15,11,Fails to Meet Expectations,44.6,21.9,49.8,0.927,0.309,0,0.876,0.031
Andrew S Douglas Middle,Traditional Public School,6-8,106,0.058,0.012,5,1,Fails to Meet Expectations,44.5,6.1,59.4,0.858,0.255,0.009,0.934,0.028
Browning Elementary,Traditional Public School,K-5,288,0.116,0.045,13,5,Fails to Meet Expectations,44.4,11.1,53.7,0.896,0.295,0.01,0.903,0.049
Milwaukee Academy of Chinese Language,Traditional Public School,K-8,491,0.124,0.103,36,30,Fails to Meet Expectations,44.4,14.6,46.1,0.91,0.163,0.326,0.686,0.045
Elm Creative Arts Elementary,Traditional Public School,K-5,319,0.078,0.062,10,8,Fails to Meet Expectations,44.1,12.3,53.7,0.959,0.125,0,0.881,0.031
Mitchell Elementary,Traditional Public School,K-8,613,0.064,0.078,22,27,Fails to Meet Expectations,44.1,16,44.2,0.917,0.245,0.447,0.157,0.763
Mount Calvary Lutheran School,Private School*,K-8,179,0.178,0.132,23,17,Fails to Meet Expectations,43.7,23.3,38.5,0.994,0.017,0.106,0.927,0.028
Morse Mid,Traditional Public School,6-8,416,0.187,0.089,59,28,Fails to Meet Expectations,42.6,15.9,48.9,0.875,0.18,0.07,0.704,0.063
Riverwest Elementary,Traditional Public School,K-5,275,0.143,0.067,15,7,Fails to Meet Expectations,42.4,11.6,52.7,0.96,0.211,0.007,0.782,0.098
Hi-Mount Elementary,Traditional Public School,K-8,143,0.033,0.022,3,2,Fails to Meet Expectations,42.3,9.9,50.8,0.993,0.161,0,0.895,0.021
Metcalfe Elementary,Traditional Public School,K-8,342,0.037,0.007,5,1,Fails to Meet Expectations,40.2,7.9,44.2,0.927,0.158,0,0.936,0.023
Thurston Woods Elementary,Traditional Public School,K-8,298,0.051,0,6,0,Fails to Meet Expectations,40.1,9.9,47,0.93,0.154,0,0.893,0.054
Wisconsin Conservatory of Lifelong Learning,Traditional Public School,K-12,431,0.013,0.013,2,2,Fails to Meet Expectations,39.6,7.6,59.4,0.923,0.188,0.032,0.884,0.03
Emerson Elementary,Traditional Public School,K-5,202,0.075,0.1,6,8,Fails to Meet Expectations,39.2,15.5,45.1,0.901,0.277,0.005,0.822,0.079
Hawthorne Elementary,Traditional Public School,K-5,285,0.094,0.094,8,8,Fails to Meet Expectations,39,15.1,41.3,0.986,0.2,0,0.835,0.074
Eighty-First Street Elementary,Traditional Public School,K-5,358,0.047,0.055,6,7,Fails to Meet Expectations,38.5,19.7,39.4,0.88,0.277,0.017,0.774,0.053
Obama School of Career and Technical Education,Traditional Public School,K-12,1226,0.02,0.018,17,15,Fails to Meet Expectations,35.1,11.5,52.7,0.893,0.155,0.042,0.778,0.126
Lancaster Elementary,Traditional Public School,K-8,331,0.071,0.049,13,9,Fails to Meet Expectations,35,4.6,43.2,0.9,0.157,0.006,0.855,0.048
Zablocki Elementary,Traditional Public School,K-5,295,0.28,0.215,30,23,Fails to Meet Expectations,31.2,24.6,22.3,0.905,0.281,0.261,0.102,0.556
Brown Street Academy,Traditional Public School,K-5,204,0.053,0.053,5,5,Fails to Meet Expectations,30.8,4.9,35.6,0.98,0.255,0,0.907,0.074
El Puente High School,Private School*,9-12,88,0.081,0.129,5,8,Fails to Meet Expectations,30.4,27.6,NA,0.989,0.023,0.227,0.182,0.773
Atlas Preparatory Academy Inc,Private School*,K-12,421,0.077,0.043,25,14,Fails to Meet Expectations,27,18.3,51.8,0,0.019,0.2,0.375,0.561
King International Baccalaureate Middle,Traditional Public School,6-8,210,0.048,0.016,6,2,Fails to Meet Expectations,18.4,6.4,11.9,0.948,0.21,0.014,0.914,0.029
NOVA-Northwest Opportunities Vocational Academy,Traditional Public School,9-12,117,NA,NA,NA,NA,Fails to Meet Expectations,14,8.7,NA,0.974,0.222,0,0.923,0.043
ASSATA High,Traditional Public School,9-12,116,NA,NA,NA,NA,Fails to Meet Expectations,12.9,7.2,NA,0.871,0.19,0.009,0.897,0.06
Shalom High,Traditional Public School,9-12,110,NA,NA,NA,NA,Fails to Meet Expectations,8.6,2.3,NA,0.873,0.209,0,0.918,0.009
Christian Faith Academy of Higher Learning,Private School*,K-8,25,0.667,0.167,4,1,NR-DATA,NA,NA,NA,0.24,0,0,0.96,0
Divine Destiny School,Private School,K-8,90,0.032,0,1,0,NR-DATA,NA,NA,NA,0.989,0,0,0.967,0.011
Universal Scholars Academy,Private School,K-5,63,0.077,0,2,0,NR-DATA,NA,NA,NA,0.524,0,0,1,0
Up Christian Academy Inc,Private School*,K-5,45,0,0,0,0,NR-DATA,NA,NA,NA,1,0,0,0.911,0
Notre Dame School of Milwaukee,Private School,6-8,101,0.58,0.909,51,80,NR-DATA,NA,NA,NA,0.752,0.109,0.485,0.01,0.99
Torah Academy of Milwaukee,Private School*,9-12,6,0.808,0.462,21,12,NR-DATA,NA,NA,NA,NA,NA,NA,0,0
Project STAY-Supporting Teachers and Youth,Traditional Public School,9-12,78,0,0,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.885,0.231,0.026,0.769,0.154
CERT School,Private School*,9-12,3,NA,NA,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,1,0
First Immanuel Lutheran School,Private School*,K-8,6,NA,NA,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,0,0
Jo's Learning Academy,Private School*,K-5,78,NA,NA,NA,NA,NR-DATA,NA,NA,NA,0.179,0.013,0,1,0
Malaika Early Learning Center,Private School,K-5,87,NA,NA,NA,NA,NR-DATA,NA,NA,NA,1,0.034,0,1,0
Banner Preparatory School of Milwaukee,Traditional Public School,9-12,44,NA,NA,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,0.977,0.227,0,0.977,0.023
Groppi High,Traditional Public School,9-12,102,NA,NA,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.873,0.245,0.02,0.873,0.078
Lad Lake Synergy School,Traditional Public School,6-12,35,NA,NA,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.8,0.229,0.143,0.543,0.286
Milwaukee County Youth Education Center,Traditional Public School,6-12,22,NA,NA,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.409,0.273,0,0.909,0.045
South Accelerated Academy,Traditional Public School,9-12,48,NA,NA,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.875,0.229,0.146,0.417,0.479
Southeastern,Traditional Public School,6-8,16,NA,NA,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,NA,NA,NA,0.813,0.063
Transition High,Traditional Public School,9-12,88,NA,NA,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.841,0.25,0.023,0.886,0.08
Vincent Accelerated Academy,Traditional Public School,9-12,49,NA,NA,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,0.857,0.265,0,0.816,0.041
Right Step Inc,Private School,6-12,NA,NA,NA,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,NA,NA
UpGrade Media Arts Schools,Public Charter School,6-12,10,NA,NA,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,NA,NA,NA,0.9,0.1
